rank,product,asin,price,title
1,Amazon-Fire-TV-Stick-With-Alexa-Voice-Remote-Streaming-Media-Player,B00ZV9RDKK,$39.99,Fire TV Stick with Alexa Voice Remote | Streaming Media Player
2,Amazon-Echo-Dot-Portable-Bluetooth-Speaker-with-Alexa-Black,B01DFKC2SO,$39.99,Echo Dot (2nd Generation) - Smart speaker with Alexa - Black
3,all-new-amazon-echo-speaker-with-wifi-alexa-dark-charcoal,B06XCM9LJ4,$84.99,Echo (2nd Generation) - Smart speaker with Alexa - Charcoal Fabric
4,Fujifilm-INSTAX-Instant-Twin-Pack,B00EB4ADQW,$12.40,Fujifilm INSTAX Mini Instant Film Twin Pack (White)
5,Amazon-Echo-Dot-Portable-Bluetooth-Speaker-with-Alexa-White,B015TJD0Y4,$39.99,Echo Dot (2nd Generation) - Smart speaker with Alexa - White
6,Amazon-Kindle-Paperwhite-6-Inch-4GB-eReader,B00OQVZDJM,$119.99,"Kindle Paperwhite E-reader - Black, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers"
7,Fujifilm-Instax-Instant-Packs-Pictures,B00O4OR4GQ,$38.77,"Fujifilm Instax Mini Instant Film (3 Twin Packs, 60 Total Pictures) - International Version"
8,all-new-amazon-fire-tv-4k-uhd-streaming-media-player,B01N32NCPM,$69.99,Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player
9,Roku-Express-more-powerful-Streaming,B075XN1NZC,$29.88,Roku Express | 5X more powerful HD Streaming
10,All-New-Amazon-Fire-7-Tablet,B01GEW27DA,$49.99,"Fire 7 Tablet with Alexa, 7"" Display, 8 GB, Black - with Special Offers"
11,BENGOO-Controller-Cancelling-Headphones-Surround,B01H6GUCCQ,$25.99,"BENGOO G9000 Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games"
12,Amazon-VN94DQ-Echo-Spot-Black,B073SQYXTW,$129.99,Echo Spot - Black
13,Roku-Streaming-Stick-streaming-wireless,B075XLWML4,$54.99,Roku Streaming Stick+ | 4K/HDR/HD streaming player with 4x the wireless range & voice remote with TV power and volume
14,EarBuddyz-Airpods-Attachment-Earphones-Headphones,B019BREFE4,$4.15,EarBuddyz 2.0 Apple Airpods and EarPods Covers and Hooks Attachment for iPhone Earphones Headphones Earbuds - Clear (2 Pairs)
15,Anker-Soundcore-Portable-Bluetooth-Playtime,B016XTADG2,$23.79,"Anker Soundcore Portable Bluetooth Speaker with Loud Stereo Sound, Rich Bass, 24-Hour Playtime, 66 ft Bluetooth Range, Built-In Mic. Perfect Wireless Speaker for iPhone, Samsung and more"
16,Roku-Streaming-Stick-Portable-power-packed,B075XN5L53,$39.99,"Roku Streaming Stick | Portable, power-packed player with voice remote with TV power and volume"
17,Bluetooth-Headphones-Waterproof-Sweatproof-Cancelling,B01G8JO5F2,$29.97,"SENSO Bluetooth Headphones, Best Wireless Sports Earphones w/Mic IPX7 Waterproof HD Stereo Sweatproof Earbuds for Gym Running Workout 8 Hour Battery Noise Cancelling Headsets"
18,All-New-Amazon-Fire-HD-8-Tablet-With-Alexa,B01J94SWWU,$79.99,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Black - with Special Offers"
19,NETGEAR-Nighthawk-AC1750-Gigabit-Ethernet,B00R2AZLD2,$89.99,"NETGEAR R6700 Nighthawk AC1750 Dual Band Smart WiFi Router, Gigabit Ethernet (R6700)"
20,AmazonBasics-6-Outlet-Surge-Protector-Power,B00TP1C51M,$9.29,"AmazonBasics 6-Outlet Surge Protector Power Strip, 790 Joule - Black"
